iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw
1,0.114899,0.973628,0.197094,-0.429957,0.114899,0.973628,0.197094,-0.429957,1.73779,-0.198393,1.45333,1.73779,-0.198393,1.45333
2,0.330495,0.0203105,0.943589,0.808288,0.222697,0.496969,0.570342,0.189166,0.224976,-1.23331,0.0613777,0.981381,-0.71585,0.757353
3,-0.353364,0.494176,-0.794307,0.511647,0.0306765,0.496038,0.115459,0.296659,2.43367,0.917866,2.19156,1.46548,-0.171278,1.23542
4,0.206767,-0.636797,-0.74279,0.671003,0.0746991,0.21283,-0.0991036,0.390245,-1.68136,0.837228,-1.25684,0.678768,0.0808485,0.612356
5,-0.834265,-0.218261,0.506325,-0.224019,-0.107094,0.126611,0.021982,0.267392,-2.66752,-0.530917,-2.88571,0.00950975,-0.0415046,-0.0872562
6,-0.927193,-0.370717,0.0536784,0.0527286,-0.243777,0.0437233,0.0272647,0.231615,-2.30433,-0.0537042,-2.76124,-0.37613,-0.0435379,-0.532919
7,0.852143,0.0481103,-0.521093,0.176191,-0.087217,0.04435,-0.0510721,0.223697,-2.75748,0.548131,0.0563981,-0.716323,0.0409863,-0.448731
8,0.335758,0.605459,-0.721586,0.589185,-0.0343451,0.114489,-0.134886,0.269383,2.0233,0.80609,1.06447,-0.37387,0.136624,-0.259582
9,0.248841,0.752925,-0.609247,-0.294895,-0.00287996,0.185426,-0.187593,0.206686,2.85832,0.65511,1.2516,-0.0147383,0.194234,-0.0916726
10,-0.203628,-0.954503,-0.217852,0.358494,-0.0229548,0.0714332,-0.190619,0.221867,-2.20399,0.219613,-1.78098,-0.233663,0.196772,-0.260603
11,-0.542527,-0.210953,-0.813119,0.453976,-0.0701886,0.0457617,-0.24721,0.242967,-1.80157,0.949491,-2.77075,-0.3762,0.265201,-0.488798
12,-0.404472,-0.0895589,0.910155,0.471869,-0.0980456,0.034485,-0.150763,0.262043,-2.42599,-1.14366,-2.92369,-0.547016,0.147796,-0.691706
13,-0.969703,0.18021,-0.164924,0.121735,-0.165096,0.0456946,-0.151852,0.25125,1.76284,0.165681,2.95785,-0.369334,0.149172,-0.410971
14,0.375856,0.555004,-0.742093,0.558797,-0.126457,0.0820738,-0.194012,0.273217,-1.20016,0.836188,0.975527,-0.428679,0.198244,-0.311935
15,0.870431,0.472607,0.137815,-0.872511,-0.0599975,0.108109,-0.17189,0.196835,0.856624,-0.138255,0.49742,-0.342992,0.175811,-0.257978
16,-0.586269,-0.769382,-0.253652,-0.434912,-0.0928895,0.0532661,-0.177,0.157351,-1.10338,0.256453,-2.22193,-0.390516,0.180851,-0.380725
