iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,success_rate
1,0.950990,0.300265,-0.073882,0.691421,0.950990,0.300265,-0.073882,0.691421,-1.579250,0.073949,0.305833,-1.579250,0.073949,0.305833,1.000000
2,0.624617,0.747755,-0.225201,0.577661,0.787804,0.524010,-0.149541,0.634541,-1.643581,0.227149,0.874885,-1.611416,0.150549,0.590359,1.000000
3,0.166404,0.900088,-0.402679,-0.374179,0.580670,0.649370,-0.233921,0.298301,-1.771119,0.414442,1.387985,-1.664650,0.238513,0.856235,1.000000
4,-0.181605,0.784410,-0.593060,-0.120880,0.390101,0.683130,-0.323706,0.193506,-1.977552,0.634854,1.798306,-1.742876,0.337599,1.091753,1.000000
5,-0.290287,0.589010,-0.754188,0.132051,0.254024,0.664306,-0.409802,0.181215,-2.325030,0.854417,2.028699,-1.859306,0.440962,1.279142,1.000000
6,-0.221256,0.512934,-0.829424,0.336351,0.174810,0.639077,-0.479739,0.207071,-2.919628,0.978076,1.978036,-2.036027,0.530481,1.395624,1.000000
7,-0.162349,0.618435,-0.768883,0.450096,0.126645,0.636128,-0.521045,0.241789,2.695990,0.877093,1.827520,-1.360024,0.579997,1.457324,1.000000
8,-0.271176,0.785496,-0.556291,0.450863,0.076917,0.654799,-0.525451,0.267923,2.260838,0.589916,1.903215,-0.907416,0.581237,1.513060,1.000000
9,-0.546423,0.807768,-0.221207,0.336266,0.007657,0.671796,-0.491646,0.275517,1.989445,0.223052,2.165548,-0.585543,0.541439,1.585559,1.000000
10,-0.817785,0.551927,0.163110,0.124956,-0.074887,0.659809,-0.426171,0.260461,1.763467,-0.163842,2.547908,-0.350642,0.470911,1.681794,1.000000
11,-0.862669,0.066089,0.501433,-0.148468,-0.146504,0.605834,-0.341843,0.223285,1.487357,-0.525254,3.065131,-0.183551,0.380350,1.807552,1.000000
12,-0.564352,-0.432206,0.703353,-0.437450,-0.181324,0.519331,-0.254743,0.168224,1.050651,-0.780103,-2.488029,-0.080701,0.283646,1.449587,1.000000
13,-0.001424,-0.695475,0.718549,0.697024,-0.167486,0.425884,-0.179875,0.208901,0.473489,-0.801714,-1.572844,-0.038071,0.200157,1.217092,1.000000
14,0.588495,-0.592167,0.550465,0.887910,-0.113487,0.353167,-0.127708,0.257402,0.076281,-0.582921,-0.788508,-0.029903,0.144223,1.073835,1.000000
15,0.948901,-0.183905,0.256448,0.986136,-0.042661,0.317362,-0.102097,0.305984,-0.065310,-0.259346,-0.191436,-0.032263,0.117318,0.989484,1.000000
16,0.943224,0.324083,-0.072792,0.985511,0.018957,0.317782,-0.100266,0.348454,-0.027396,0.072856,0.330954,-0.031959,0.114539,0.948325,0.750000
17,0.612092,0.711288,-0.345561,0.897801,0.053847,0.340929,-0.114695,0.380769,0.162556,0.352837,0.860215,-0.020517,0.128557,0.943142,0.750000
18,0.123029,0.857890,-0.498888,0.749202,0.057690,0.369649,-0.136039,0.401237,0.494065,0.522315,1.428359,0.008071,0.150432,0.970099,0.750000
19,-0.317744,0.792669,-0.520302,0.583476,0.037931,0.391913,-0.156263,0.410829,0.876057,0.547205,1.952038,0.053754,0.171315,1.021780,0.750000
20,-0.359783,0.777239,-0.516193,0.565119,0.018045,0.411180,-0.174260,0.418543,0.917558,0.542400,2.004325,0.096944,0.189869,1.070907,0.750000
21,-0.343097,0.792349,-0.504448,0.572269,0.000848,0.429331,-0.189983,0.425864,0.890140,0.528742,1.979434,0.134716,0.206006,1.114170,0.800000
22,-0.110016,0.934438,-0.338706,0.663224,-0.004192,0.452290,-0.196743,0.436653,0.602669,0.345542,1.687991,0.155986,0.212348,1.140253,0.800000
23,0.207806,0.974306,-0.086864,0.769106,0.005026,0.474986,-0.191966,0.451107,0.357722,0.086973,1.360659,0.164757,0.206897,1.149836,0.800000
24,0.513920,0.829592,0.218321,0.858538,0.026230,0.489762,-0.174870,0.468084,0.202587,-0.220093,1.016172,0.166334,0.189106,1.144267,0.800000
25,0.696532,0.490960,0.523261,0.907569,0.053042,0.489810,-0.146945,0.485663,0.163510,-0.550673,0.613982,0.166221,0.159515,1.123055,0.800000
26,0.655573,0.035366,0.754303,0.896275,0.076216,0.472331,-0.112282,0.501456,0.321087,-0.854592,0.053894,0.172177,0.120511,1.081934,0.833333
27,0.397267,-0.326555,0.857636,0.827614,0.088107,0.442743,-0.076359,0.513536,0.681258,-1.030656,-0.688015,0.191032,0.077875,1.016380,0.833333
28,0.074508,-0.434926,0.897378,0.732619,0.087621,0.411397,-0.041583,0.521360,1.029444,-1.113792,-1.401130,0.220975,0.035315,0.930040,0.833333
29,-0.270806,-0.385948,0.881878,0.599003,0.075262,0.383903,-0.009739,0.524037,1.459608,-1.079830,-2.182638,0.263687,-0.003138,0.822707,0.833333
