iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,a_x,a_y,a_z,a_mag,alpha_x,alpha_y,alpha_z,alpha_mag,success_rate
1,0.999459,-0.013497,0.029979,0.706918,0.999459,-0.013497,0.029979,0.706918,-1.570857,-0.029984,-0.013503,-1.570857,-0.029984,-0.013503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2,0.990730,-0.053651,0.124805,0.703889,0.995095,-0.033574,0.077392,0.705404,-1.571871,-0.125131,-0.054100,-1.571364,-0.077558,-0.033802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3,0.970184,-0.093894,0.223443,0.696720,0.986791,-0.053680,0.126076,0.702509,-1.574342,-0.225345,-0.096479,-1.572357,-0.126820,-0.054694,0.000935,-0.001691,-0.000711,0.002059,-0.005739,-0.004687,-0.002129,0.007709,1.000000
4,0.938569,-0.130349,0.319526,0.685550,0.974736,-0.072847,0.174438,0.698269,-1.578381,-0.325230,-0.137997,-1.573863,-0.176422,-0.075520,-0.000301,-0.001641,-0.000692,0.001806,-0.005582,0.000994,0.000188,0.005673,1.000000
5,0.896470,-0.161693,0.412549,0.670401,0.959083,-0.090616,0.222060,0.692696,-1.584252,-0.425250,-0.178447,-1.575941,-0.226188,-0.096105,-0.000309,-0.001647,-0.000697,0.001815,-0.005609,0.000847,0.000019,0.005673,1.000000
6,0.844948,-0.186456,0.501295,0.651401,0.940060,-0.106590,0.268600,0.685813,-1.592330,-0.525095,-0.217191,-1.578672,-0.276006,-0.116286,-0.000469,-0.001616,-0.000687,0.001817,-0.005513,0.001421,0.000159,0.005696,0.500000
7,0.785176,-0.203454,0.584897,0.628669,0.917934,-0.120427,0.313785,0.677650,-1.603201,-0.624753,-0.253542,-1.582176,-0.325827,-0.135894,-0.000567,-0.001593,-0.000681,0.001823,-0.005449,0.001700,0.000172,0.005710,0.500000
8,0.718708,-0.211681,0.662307,0.602426,0.893031,-0.131834,0.357350,0.668247,-1.617712,-0.723894,-0.286430,-1.586618,-0.375585,-0.154711,-0.000721,-0.001531,-0.000660,0.001817,-0.005254,0.002262,0.000312,0.005729,0.500000
9,0.646939,-0.210433,0.732931,0.572801,0.865687,-0.140567,0.399081,0.657642,-1.637251,-0.822621,-0.314480,-1.592244,-0.425256,-0.172463,-0.000782,-0.001512,-0.000658,0.001825,-0.005209,0.002363,0.000245,0.005725,0.500000
10,0.571313,-0.199171,0.796199,0.539910,0.836250,-0.146428,0.438793,0.645869,-1.664098,-0.920986,-0.335444,-1.599429,-0.474829,-0.188761,-0.000847,-0.001503,-0.000662,0.001848,-0.005201,0.002467,0.000173,0.005760,0.500000
