rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
-0.686024,-0.230272,0.690178,-0.686024,-0.230272,0.690178
0.453866,0.145218,0.879157,-0.116079,-0.042527,0.784668
0.330980,-0.716990,0.613496,0.032940,-0.267348,0.727611
-0.192411,-0.980811,-0.031435,-0.023397,-0.445714,0.537849
-0.106278,-0.730335,-0.674771,-0.039974,-0.502638,0.295325
0.308995,-0.702651,0.640940,0.018188,-0.535973,0.352928
0.172120,-0.833575,0.524907,0.040178,-0.578488,0.377496
-0.131634,0.008712,0.991260,0.018702,-0.505088,0.454217
0.000579,0.977293,0.211890,0.016688,-0.340379,0.427291
0.246989,0.826817,0.505343,0.039718,-0.223659,0.435097
0.634255,-0.773124,0.000009,0.093767,-0.273611,0.395543
-0.985076,-0.101982,0.138657,0.003863,-0.259308,0.374136
0.291396,0.779272,0.554819,0.025981,-0.179418,0.388035
0.866080,0.441035,-0.235360,0.085988,-0.135100,0.343506
0.548252,-0.685118,-0.479618,0.116806,-0.171767,0.288631
0.578096,-0.730054,-0.364452,0.145636,-0.206660,0.247814
0.743350,-0.615761,-0.261286,0.180796,-0.230725,0.217867
0.852919,0.455313,0.255379,0.218136,-0.192612,0.219951
-0.574077,-0.818332,0.027721,0.176441,-0.225544,0.209833
0.031606,-0.983263,0.179432,0.169199,-0.263430,0.208313
-0.115472,-0.032915,0.992765,0.155643,-0.252453,0.245668
-0.682687,-0.160617,-0.712840,0.117537,-0.248279,0.202100
-0.933045,-0.181766,0.310464,0.071860,-0.245387,0.206811
0.278388,-0.658243,0.699440,0.080465,-0.262590,0.227337
-0.227307,-0.939292,-0.257024,0.068154,-0.289658,0.207963
-0.014009,0.286763,-0.957899,0.064994,-0.267488,0.163122
0.188453,0.577684,0.794208,0.069567,-0.236185,0.186496
0.788758,0.172652,0.589960,0.095252,-0.221584,0.200905
-0.045138,-0.984755,0.167989,0.090411,-0.247900,0.199770
-0.224297,-0.760045,0.609937,0.079921,-0.264971,0.213442
0.038032,0.966104,0.255338,0.078570,-0.225259,0.214794
0.118545,0.179421,0.976604,0.079819,-0.212613,0.238600
0.349499,0.260537,0.899984,0.087991,-0.198275,0.258642
0.424348,-0.559491,0.711967,0.097884,-0.208899,0.271975
0.229541,0.316977,0.920237,0.101645,-0.193874,0.290497
-0.325322,0.846060,0.422313,0.089785,-0.164987,0.294159
0.296429,-0.798634,-0.523750,0.095370,-0.182113,0.272053
0.829075,-0.238644,-0.505651,0.114678,-0.183600,0.251587
0.122735,-0.030970,-0.991956,0.114885,-0.179687,0.219701
0.142230,0.983538,0.111459,0.115568,-0.150606,0.216995
0.452768,-0.886311,0.097231,0.123793,-0.168550,0.214074
0.013006,0.211942,-0.977196,0.121155,-0.159491,0.185711
0.290893,0.947340,0.133894,0.125102,-0.133751,0.184506
0.412633,-0.759874,0.502320,0.131637,-0.147981,0.191729
-0.658154,-0.392041,-0.642758,0.114086,-0.153404,0.173185
0.700431,-0.678972,0.219985,0.126833,-0.164830,0.174202
0.566323,0.165211,0.807455,0.136184,-0.157807,0.187675
