rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
0.119325,0.971010,-0.207124,0.119325,0.971010,-0.207124
0.862460,-0.389859,-0.322759,0.490892,0.290576,-0.264942
0.919501,-0.142971,-0.366166,0.633762,0.146060,-0.298683
0.414507,-0.711756,0.567087,0.578948,-0.068394,-0.082241
-0.267416,0.310657,0.912130,0.409675,0.007416,0.116633
0.659633,0.383586,0.646332,0.451335,0.070111,0.204917
-0.702641,-0.416336,-0.577027,0.286481,0.000619,0.093210
0.487012,-0.626324,-0.608718,0.311548,-0.077749,0.005469
-0.555171,-0.243417,-0.795319,0.215245,-0.096157,-0.083507
-0.246079,0.528934,-0.812203,0.169113,-0.033648,-0.156377
0.084641,-0.537300,-0.839133,0.161434,-0.079434,-0.218446
0.699977,-0.309661,0.643539,0.206312,-0.098620,-0.146614
-0.354085,-0.885303,-0.301434,0.163205,-0.159134,-0.158523
-0.684490,0.648949,0.332174,0.102655,-0.101414,-0.123473
0.746993,0.573646,0.336053,0.145611,-0.056410,-0.092838
-0.567874,-0.713497,0.410415,0.101018,-0.097478,-0.061385
0.643489,-0.590184,0.487447,0.132928,-0.126460,-0.029100
-0.211603,0.916699,0.338951,0.113788,-0.068507,-0.008653
0.437543,-0.756469,-0.486118,0.130827,-0.104716,-0.033783
0.062926,-0.006630,-0.997996,0.127432,-0.099811,-0.081994
-0.916202,0.002888,0.400705,0.077735,-0.094921,-0.059008
-0.813332,-0.461490,-0.354286,0.037232,-0.111583,-0.072430
0.333628,0.673161,-0.659959,0.050119,-0.077464,-0.097974
0.129242,0.558201,-0.819578,0.053416,-0.050978,-0.128041
0.023218,-0.993749,0.109200,0.052208,-0.088689,-0.118552
-0.514740,0.842585,-0.158408,0.030402,-0.052870,-0.120085
0.533663,0.843642,0.058925,0.049042,-0.019666,-0.113455
-0.838584,0.396881,-0.373178,0.017341,-0.004789,-0.122730
-0.422693,-0.715455,0.556286,0.002167,-0.029295,-0.099316
0.554255,-0.477363,0.681855,0.020570,-0.044231,-0.073277
0.847509,-0.151644,0.508657,0.047246,-0.047696,-0.054505
-0.950757,0.157472,-0.266951,0.016058,-0.041284,-0.061144
0.193614,0.971547,-0.136419,0.021438,-0.010592,-0.063425
0.482257,-0.852280,0.202600,0.034992,-0.035348,-0.055601
0.197692,0.853266,-0.482551,0.039640,-0.009959,-0.067799
-0.690817,0.319122,-0.648793,0.019350,-0.000818,-0.083938
0.458182,0.838154,-0.295918,0.031210,0.021857,-0.089667
-0.168026,0.747936,-0.642152,0.025967,0.040964,-0.104206
-0.098252,0.185095,0.977797,0.022782,0.044660,-0.076463
-0.229739,-0.839932,-0.491665,0.016469,0.022545,-0.086843
-0.168721,-0.975211,-0.143168,0.011952,-0.001790,-0.088216
0.198141,0.942004,0.270866,0.016385,0.020681,-0.079667
-0.402005,0.860359,-0.313329,0.006655,0.040208,-0.085101
-0.823790,-0.317000,-0.469980,-0.012218,0.032090,-0.093848
-0.571562,0.615497,-0.542661,-0.024648,0.045055,-0.103822
0.914449,0.366076,0.172547,-0.004233,0.052033,-0.097814
0.796993,0.098495,0.595903,0.012814,0.053022,-0.083054
0.694658,-0.125755,-0.708263,0.027019,0.049297,-0.096079
0.466338,-0.590736,0.658452,0.035985,0.036236,-0.080680
-0.953218,-0.223451,-0.203581,0.016201,0.031042,-0.083138
-0.247574,0.713328,0.655645,0.011029,0.044420,-0.068652
0.136196,-0.596624,-0.790880,0.013436,0.032092,-0.082541
0.601868,0.471653,0.644437,0.024538,0.040386,-0.068825
0.368455,-0.091779,-0.925104,0.030907,0.037938,-0.084682
0.089065,0.852983,-0.514284,0.031965,0.052757,-0.092493
0.911113,-0.012583,0.411964,0.047664,0.051590,-0.083485
0.746918,0.600535,-0.285432,0.059931,0.061221,-0.087028
0.968017,-0.250866,0.003190,0.075588,0.055840,-0.085472
-0.852249,-0.291391,-0.434469,0.059862,0.049955,-0.091387
-0.541171,0.772180,0.332974,0.049845,0.061992,-0.084315
0.977236,0.140562,-0.158912,0.065048,0.063280,-0.085538
0.477396,0.855040,-0.202482,0.071699,0.076050,-0.087424
0.968029,0.178803,0.175924,0.085926,0.077681,-0.083244
0.961138,0.072283,0.266437,0.099601,0.077597,-0.077780
0.518944,-0.145873,0.842270,0.106053,0.074159,-0.063625
0.527540,0.096392,-0.844044,0.112439,0.074496,-0.075450
-0.916842,-0.257258,-0.305319,0.097077,0.069544,-0.078881
-0.065943,0.663688,0.745097,0.094679,0.078282,-0.066763
-0.486842,-0.762826,0.425537,0.086251,0.066092,-0.059629
0.102158,0.842385,-0.529103,0.086479,0.077182,-0.066335
-0.581808,0.521083,-0.624477,0.077066,0.083434,-0.074196
-0.933223,0.305617,0.188925,0.063034,0.086520,-0.070542
0.423181,-0.342242,-0.838921,0.067968,0.080646,-0.081068
0.016688,0.805847,0.591889,0.067275,0.090446,-0.071974
-0.866880,0.488394,-0.099952,0.054819,0.095752,-0.072347
0.714493,0.011823,0.699542,0.063499,0.094648,-0.062190
-0.984211,0.174643,-0.028772,0.049893,0.095687,-0.061756
-0.120157,0.992459,-0.024220,0.047713,0.107184,-0.061275
0.926559,0.367820,0.078721,0.058837,0.110483,-0.059503
-0.594050,-0.596441,0.539780,0.050676,0.101647,-0.052012
-0.792354,0.605073,0.077866,0.040268,0.107862,-0.050409
0.165750,0.363745,-0.916633,0.041799,0.110982,-0.060972
-0.524722,0.708779,-0.471486,0.034973,0.118185,-0.065918
0.630782,0.765109,0.129318,0.042066,0.125886,-0.063594
-0.089123,0.926719,-0.365034,0.040523,0.135308,-0.067140
-0.655923,0.359971,-0.663466,0.032424,0.137920,-0.074074
-0.152115,0.040936,-0.987515,0.030303,0.136805,-0.084574
0.642745,0.628639,-0.437827,0.037263,0.142394,-0.088588
-0.340742,-0.939952,0.019611,0.033016,0.130233,-0.087372
-0.272903,-0.926768,0.258119,0.029617,0.118489,-0.083533
-0.213608,0.235681,-0.948064,0.026944,0.119776,-0.093034
-0.826408,0.324527,-0.460143,0.017668,0.122002,-0.097024
-0.911120,-0.132332,-0.390318,0.007681,0.119267,-0.100178
-0.932000,-0.357187,-0.061586,-0.002315,0.114199,-0.099767
0.019829,-0.723695,0.689835,-0.002082,0.105379,-0.091456
0.650819,0.506467,0.565620,0.004719,0.109557,-0.084611
-0.269956,0.381002,0.884286,0.001887,0.112355,-0.074622
0.019165,-0.361211,-0.932287,0.002063,0.107523,-0.083374
-0.392419,0.136540,0.909596,-0.001921,0.107816,-0.073344
0.283762,0.638648,0.715268,0.000936,0.113124,-0.065458
-0.356669,-0.600068,0.716035,-0.002605,0.106063,-0.057720
0.475692,-0.442104,-0.760435,0.002084,0.100689,-0.064610
0.636269,0.285543,-0.716678,0.008241,0.102483,-0.070941
0.650197,-0.718391,-0.247301,0.014414,0.094590,-0.072636
0.162909,-0.973181,-0.162417,0.015828,0.084421,-0.073491
0.777639,0.132979,-0.614487,0.023015,0.084879,-0.078595
0.960445,0.122873,0.249895,0.031776,0.085234,-0.075525
0.211908,-0.977248,0.008998,0.033444,0.075396,-0.074742
0.206240,-0.544397,-0.813079,0.035029,0.069710,-0.081516
0.356591,-0.878936,0.316725,0.037952,0.061086,-0.077896
-0.870233,-0.448748,-0.203272,0.029771,0.056493,-0.079025
-0.049263,-0.153689,-0.986890,0.029065,0.054616,-0.087131
0.903008,-0.225922,0.365425,0.036799,0.052134,-0.083126
-0.022139,-0.621892,-0.782790,0.036282,0.046221,-0.089264
-0.710601,-0.150703,-0.687267,0.029787,0.044509,-0.094464
-0.489202,0.870554,-0.053081,0.025313,0.051630,-0.094107
-0.578253,-0.266121,-0.771235,0.020155,0.048914,-0.099894
-0.857189,0.407240,-0.315251,0.012720,0.051951,-0.101719
-0.407224,0.645446,-0.646195,0.009191,0.056938,-0.106295
0.187884,0.981553,-0.035393,0.010680,0.064643,-0.105704
-0.003894,0.053256,-0.998573,0.010559,0.064549,-0.113083
-0.784625,0.576323,0.228509,0.004041,0.068744,-0.110283
0.118886,-0.509803,0.852037,0.004975,0.064040,-0.102459
-0.264143,0.269193,0.926155,0.002805,0.065695,-0.094164
0.810724,-0.509030,0.289164,0.009268,0.061097,-0.091098
0.218520,0.974763,0.045675,0.010929,0.068348,-0.090012
0.064596,0.647814,-0.759055,0.011351,0.072911,-0.095280
-0.228063,-0.936108,0.267749,0.009481,0.065028,-0.092444
-0.292866,0.940249,0.173672,0.007137,0.071813,-0.090381
-0.692039,-0.524362,0.496112,0.001759,0.067227,-0.085870
0.268649,-0.804421,0.529844,0.003796,0.060573,-0.081169
-0.468769,0.802718,-0.368646,0.000216,0.066195,-0.083347
0.367251,0.305708,0.878447,0.002976,0.067996,-0.076116
0.640749,-0.413687,0.646764,0.007735,0.064402,-0.070721
0.402429,-0.684583,-0.607781,0.010659,0.058854,-0.074699
-0.878122,0.365970,-0.308168,0.004124,0.061112,-0.076416
-0.949477,-0.115279,0.291897,-0.002837,0.059824,-0.073728
0.150641,0.981410,-0.118915,-0.001725,0.066502,-0.074055
0.656992,-0.750843,-0.067798,0.003014,0.060622,-0.074010
0.417758,-0.875532,-0.242740,0.005977,0.053935,-0.075215
-0.599637,0.429290,0.675386,0.001682,0.056597,-0.069892
-0.499886,-0.747247,-0.437878,-0.001850,0.050937,-0.072483
-0.354892,-0.679010,0.642649,-0.004319,0.045832,-0.067482
-0.641473,0.243774,0.727383,-0.008744,0.047207,-0.061962
0.344356,-0.684664,-0.642382,-0.006309,0.042159,-0.065965
0.771513,0.513303,-0.375883,-0.000981,0.045386,-0.068088
-0.331090,0.756039,0.564610,-0.003227,0.050221,-0.063784
-0.164266,-0.640061,-0.750559,-0.004315,0.045557,-0.068424
-0.051510,-0.361772,-0.930842,-0.004632,0.042823,-0.074212
0.114232,-0.977598,-0.176784,-0.003839,0.036020,-0.074896
-0.506654,0.782784,0.361319,-0.007169,0.040966,-0.072007
0.633272,-0.466375,-0.617626,-0.002956,0.037628,-0.075597
-0.160553,-0.555395,-0.815941,-0.003986,0.033752,-0.080436
0.938725,-0.146370,0.312045,0.002136,0.032582,-0.077887
0.467951,0.757672,-0.454923,0.005141,0.037260,-0.080320
0.466056,0.264959,-0.844150,0.008096,0.038720,-0.085216
-0.227848,0.498641,0.836327,0.006593,0.041649,-0.079346
-0.114803,-0.902048,-0.416089,0.005824,0.035676,-0.081478
-0.387991,-0.370651,-0.843848,0.003348,0.033121,-0.086272
-0.638076,0.544759,0.544148,-0.000661,0.036319,-0.082332
0.879917,-0.298917,-0.369317,0.004808,0.034236,-0.084115
0.465670,0.876393,0.122828,0.007653,0.039435,-0.082837
-0.285524,-0.274323,-0.918272,0.005854,0.037510,-0.087963
0.787992,0.437682,-0.433016,0.010623,0.039950,-0.090067
0.508971,-0.790447,-0.340797,0.013644,0.034917,-0.091586
-0.002833,-0.527676,-0.849441,0.013544,0.031528,-0.096152
-0.337449,-0.284937,-0.897184,0.011443,0.029633,-0.100948
-0.375578,-0.918064,-0.126882,0.009139,0.023992,-0.101103
-0.313400,-0.314618,0.895989,0.007230,0.021989,-0.095203
-0.461863,0.513258,-0.723359,0.004471,0.024878,-0.098898
-0.515234,0.134449,0.846438,0.001432,0.025519,-0.093370
0.231433,0.489464,0.840752,0.002769,0.028217,-0.087939
0.524300,-0.339468,-0.780943,0.005784,0.026091,-0.091944
-0.416058,0.790988,-0.448590,0.003359,0.030487,-0.093994
0.672996,-0.604409,0.426340,0.007186,0.026859,-0.091021
0.049355,-0.322055,-0.945434,0.007425,0.024877,-0.095875
0.697896,-0.598128,0.393934,0.011326,0.021357,-0.093108
-0.581539,0.204152,0.787486,0.007996,0.022384,-0.088161
-0.702875,0.363302,-0.611537,0.004024,0.024288,-0.091085
-0.621354,0.199401,-0.757732,0.000550,0.025261,-0.094788
0.764366,-0.515454,0.387364,0.004770,0.022274,-0.092125
-0.330262,0.941165,0.071657,0.002929,0.027323,-0.091225
0.561389,-0.781310,0.272758,0.005981,0.022904,-0.089236
0.673896,0.731791,0.101716,0.009611,0.026757,-0.088198
0.209191,-0.628888,-0.748825,0.010690,0.023213,-0.091769
0.224727,-0.949608,-0.218501,0.011840,0.017982,-0.092450
0.442575,0.024359,0.896401,0.014144,0.018017,-0.087162
0.201684,0.978688,-0.038641,0.015141,0.023126,-0.086904
0.095147,0.897708,-0.430194,0.015565,0.027754,-0.088721
-0.435942,0.302395,-0.847651,0.013188,0.029199,-0.092715
0.410617,-0.092069,0.907148,0.015269,0.028564,-0.087480
-0.803844,0.019672,-0.594515,0.011003,0.028518,-0.090121
0.107342,0.427027,0.897845,0.011502,0.030583,-0.085002
-0.369702,-0.663800,-0.650146,0.009537,0.027004,-0.087915
0.350790,-0.004692,0.936442,0.011287,0.026841,-0.082662
0.538298,-0.156523,0.828092,0.013976,0.025906,-0.078015
-0.319266,-0.013278,0.947572,0.012284,0.025707,-0.072809
-0.681723,-0.030003,-0.730995,0.008779,0.025425,-0.076133
0.502558,0.698039,-0.510076,0.011261,0.028805,-0.078314
0.772564,-0.477044,0.419015,0.015067,0.026276,-0.075827
-0.430653,0.357800,-0.828564,0.012850,0.027925,-0.079572
-0.633185,-0.544142,-0.550442,0.009651,0.025093,-0.081903
0.943940,-0.321278,-0.075885,0.014254,0.023387,-0.081874
-0.060681,0.749002,0.659783,0.013886,0.026944,-0.078238
-0.687411,-0.704940,0.174715,0.010465,0.023374,-0.077004
0.520802,-0.641812,0.562888,0.012943,0.020145,-0.073898
0.264885,0.470709,0.841587,0.014160,0.022321,-0.069475
-0.900459,0.299214,0.315666,0.009763,0.023653,-0.067624
0.921770,-0.131416,0.364788,0.014126,0.022911,-0.065555
-0.032887,-0.915737,0.400431,0.013903,0.018441,-0.063336
-0.295223,-0.877043,0.378996,0.012437,0.014197,-0.061239
