rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
0.503750,0.709633,-0.492602,0.503750,0.709633,-0.492602
-0.264810,0.749510,-0.606721,0.119470,0.729572,-0.549662
0.100412,-0.974041,-0.202885,0.113117,0.161701,-0.434069
0.573252,-0.778751,-0.254811,0.228151,-0.073412,-0.389255
-0.564170,0.813772,-0.139595,0.069687,0.104025,-0.339323
0.951617,0.012912,0.307016,0.216675,0.088839,-0.231600
-0.436355,0.368452,0.820876,0.123385,0.128784,-0.081246
-0.147070,-0.438749,0.886493,0.089578,0.057842,0.039721
-0.895611,0.285165,0.341411,-0.019887,0.083101,0.073242
0.960433,-0.091730,0.262970,0.078145,0.065617,0.092215
-0.994133,-0.033885,0.102721,-0.019335,0.056572,0.093170
0.353783,0.814489,0.459833,0.011758,0.119732,0.123725
-0.005259,0.987767,0.155848,0.010449,0.186504,0.126196
-0.820628,-0.571411,-0.007683,-0.048914,0.132367,0.116634
0.950779,-0.232229,-0.205155,0.017733,0.108060,0.095181
0.734578,0.109755,0.669589,0.062535,0.108166,0.131081
0.909461,0.337397,0.242988,0.112355,0.121650,0.137664
0.007556,0.742801,-0.669469,0.106532,0.156159,0.092823
0.724053,-0.603694,0.333618,0.139034,0.116167,0.105497
0.289026,-0.116643,0.950189,0.146533,0.104526,0.147731
-0.105814,-0.592753,0.798403,0.134517,0.071322,0.178716
-0.687951,-0.009052,-0.725701,0.097132,0.067669,0.137606
0.698153,0.076008,0.711903,0.123263,0.068032,0.162575
0.275543,-0.476766,0.834728,0.129608,0.045332,0.190582
0.986556,0.153096,0.057173,0.163886,0.049642,0.185245
0.653589,0.063253,-0.754201,0.182721,0.050166,0.149113
-0.298941,0.689792,-0.659410,0.164881,0.073856,0.119168
-0.851562,0.355557,0.385254,0.128580,0.083916,0.128671
0.489164,-0.741785,-0.458775,0.141014,0.055444,0.108414
-0.553582,-0.118798,0.824278,0.117861,0.049636,0.132276
-0.767638,0.562656,0.306840,0.089296,0.066185,0.137907
-0.738900,-0.261904,-0.620833,0.063415,0.055932,0.114196
-0.906801,-0.317495,-0.277323,0.034015,0.044616,0.102332
0.416800,0.542339,0.729484,0.045273,0.059255,0.120778
-0.133028,0.949395,-0.284523,0.040179,0.084688,0.109198
0.691670,0.587801,0.419621,0.058276,0.098663,0.117821
0.184891,-0.975898,-0.115928,0.061698,0.069621,0.111503
0.232253,0.484312,-0.843505,0.066186,0.080534,0.086371
-0.820467,0.098163,0.563203,0.043451,0.080986,0.098598
-0.836272,-0.438509,-0.329180,0.021458,0.067998,0.087903
0.944001,0.148323,0.294725,0.043959,0.069958,0.092948
0.379836,-0.921789,-0.077656,0.051956,0.046345,0.088886
-0.836885,0.311233,0.450287,0.031286,0.052505,0.097290
-0.807553,-0.189103,-0.558658,0.012221,0.047014,0.082383
-0.277295,0.848957,-0.449866,0.005787,0.064835,0.070555
0.152627,-0.523910,0.837987,0.008980,0.052036,0.087238
0.380619,-0.792452,-0.476602,0.016887,0.034068,0.075242
-0.383335,0.908846,-0.164481,0.008549,0.052293,0.070247
0.628784,0.602467,-0.491593,0.021207,0.063521,0.058781
-0.918892,-0.351586,-0.178955,0.002405,0.055218,0.054026
-0.994984,0.088008,-0.047562,-0.017152,0.055861,0.052035
-0.123028,-0.410564,0.903494,-0.019188,0.046892,0.068409
-0.525193,0.582558,0.620321,-0.028735,0.056999,0.078822
0.135884,-0.892907,0.429247,-0.025687,0.039408,0.085312
-0.644365,0.354660,0.677503,-0.036935,0.045140,0.096079
-0.585856,0.805984,0.084630,-0.046738,0.058726,0.095874
0.139881,0.260330,-0.955333,-0.043464,0.062263,0.077432
-0.874429,-0.186831,-0.447737,-0.057791,0.057968,0.068377
-0.924639,-0.038666,0.378877,-0.072483,0.056330,0.073640
-0.220218,-0.872224,0.436726,-0.074945,0.040855,0.079691
-0.257574,-0.626122,-0.735953,-0.077939,0.029920,0.066320
0.871769,-0.237190,-0.428672,-0.062621,0.025612,0.058337
-0.699717,0.115102,-0.705087,-0.072734,0.027033,0.046219
-0.800597,-0.566920,0.194028,-0.084107,0.017752,0.048528
0.075164,-0.952487,-0.295158,-0.081656,0.002825,0.043241
0.171924,0.492666,0.853066,-0.077814,0.010247,0.055511
0.168502,0.282516,-0.944347,-0.074138,0.014311,0.040588
0.917929,-0.128611,-0.375321,-0.059549,0.012209,0.034471
-0.205142,-0.586915,-0.783229,-0.061659,0.003526,0.022620
0.404517,-0.692813,0.596972,-0.054999,-0.006421,0.030826
0.627307,-0.182454,-0.757098,-0.045389,-0.008901,0.019728
-0.747361,-0.492602,-0.445865,-0.055139,-0.015619,0.013261
0.209975,0.074918,0.974832,-0.051507,-0.014379,0.026434
-0.724868,0.540175,0.427524,-0.060607,-0.006885,0.031854
0.991082,0.110878,0.073907,-0.046584,-0.005315,0.032414
0.171810,-0.957761,-0.230596,-0.043710,-0.017847,0.028954
0.197829,-0.814535,-0.545340,-0.040574,-0.028193,0.021495
-0.307615,-0.372678,0.875491,-0.043997,-0.032610,0.032444
-0.049652,0.870786,-0.489149,-0.044069,-0.021174,0.025842
0.582829,0.766809,-0.268914,-0.036232,-0.011325,0.022157
0.922703,0.384512,-0.027743,-0.024394,-0.006438,0.021541
0.310666,-0.265421,0.912709,-0.020308,-0.009596,0.032409
