rot_x,rot_y,rot_z,rot_w,running_mean_x,running_mean_y,running_mean_z,running_mean_w
0.372934,-0.271794,0.887157,-0.647251,0.372934,-0.271794,0.887157,-0.647251
0.068333,-0.257932,-0.963743,0.661055,0.220634,-0.264863,-0.038293,0.006902
-0.206474,-0.950939,0.230397,-0.501520,0.078264,-0.493555,0.051270,-0.162572
0.768317,0.240310,-0.593245,-0.773430,0.250778,-0.310089,-0.109859,-0.315286
-0.971996,-0.075362,0.222583,-0.082513,0.006223,-0.263144,-0.043370,-0.268732
-0.963438,0.063947,-0.260188,-0.107717,-0.155387,-0.208629,-0.079506,-0.241896
0.507579,0.799285,0.321725,0.639184,-0.060678,-0.064641,-0.022188,-0.116027
0.721051,0.627706,0.293378,0.462401,0.037038,0.021902,0.017258,-0.043724
0.383650,-0.898899,0.211645,-0.657056,0.075551,-0.080409,0.038857,-0.111872
0.393256,-0.532448,0.749565,-0.792609,0.107321,-0.125613,0.109927,-0.179946
0.357409,0.545528,0.758062,-0.201131,0.130056,-0.064600,0.168849,-0.181872
0.343986,0.420416,0.839597,-0.514970,0.147884,-0.024182,0.224745,-0.209630
0.532401,0.834863,-0.139833,0.612670,0.177462,0.041898,0.196700,-0.146376
-0.502262,-0.255212,-0.826196,0.441583,0.128910,0.020676,0.123636,-0.104379
0.744320,-0.121898,-0.656604,0.918432,0.169938,0.011171,0.071620,-0.036192
-0.492522,-0.385556,0.780237,-0.485851,0.128534,-0.013624,0.115909,-0.064295
-0.155015,-0.739559,-0.654998,-0.057280,0.111855,-0.056326,0.070561,-0.063883
0.016248,-0.935987,-0.351658,0.356962,0.106543,-0.105196,0.047105,-0.040502
0.923887,-0.116836,-0.364393,-0.090413,0.149561,-0.105809,0.025447,-0.043129
-0.179143,-0.939912,-0.290642,-0.636291,0.133126,-0.147514,0.009642,-0.072787
-0.433314,-0.324604,0.840756,-0.269199,0.106153,-0.155947,0.049219,-0.082140
0.949120,0.304161,0.081589,-0.536867,0.144469,-0.135033,0.050691,-0.102810
-0.556980,-0.702271,0.443383,0.223546,0.113972,-0.159695,0.067764,-0.088620
0.486975,0.803234,0.343030,0.679742,0.129513,-0.119573,0.079234,-0.056605
0.234364,0.967335,-0.096625,-0.771303,0.133707,-0.076097,0.072199,-0.085193
0.514783,0.702864,-0.490898,-0.817274,0.148364,-0.046137,0.050542,-0.113350
0.637183,-0.697710,-0.327412,-0.898922,0.166469,-0.070269,0.036543,-0.142445
-0.172552,-0.950855,0.257099,-0.416376,0.154361,-0.101719,0.044420,-0.152229
