
rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
-0.995476,0.090512,0.028887,-0.995476,0.090512,0.028887
-0.385920,0.798825,-0.461459,-0.690698,0.444669,-0.216286
-0.047393,-0.843773,-0.534603,-0.476263,0.015188,-0.322392
-0.911663,0.352531,-0.211168,-0.585113,0.099524,-0.294586
-0.674888,0.088026,0.732651,-0.603068,0.097224,-0.089138
0.506372,0.161700,0.847018,-0.418161,0.107970,0.066888
-0.177122,0.979744,-0.093435,-0.383727,0.232509,0.043984
-0.156145,-0.960590,-0.229971,-0.169479,-0.018498,-0.041206
0.199356,0.115052,0.973150,-0.135949,-0.006357,0.051009
-0.852510,-0.484991,0.194964,-0.195662,-0.046243,0.063005
-0.321967,-0.872719,-0.367012,-0.205378,-0.109818,0.029927
-0.991477,0.046428,0.121730,-0.261528,-0.098658,0.036484
-0.867016,0.282653,0.410353,-0.301894,-0.073237,0.061409
0.813957,0.491745,-0.309292,-0.232153,-0.037926,0.038240
-0.034316,0.998392,0.045128,-0.220516,0.023034,0.038645
-0.669541,-0.713199,0.207516,-0.245462,-0.017868,0.048027
0.896140,-0.046144,-0.441365,-0.185377,-0.019356,0.022269
-0.556023,0.776292,0.297000,-0.203910,0.020426,0.036006
-0.991936,0.061452,-0.110847,-0.241435,0.022380,0.029013
0.902022,0.198570,-0.383311,-0.189459,0.030389,0.010271
0.183087,-0.408038,-0.894418,-0.173262,0.011327,-0.029063
-0.825559,0.557917,0.084744,-0.200441,0.034101,-0.024321
-0.451586,-0.338644,-0.825464,-0.210487,0.019191,-0.056367
-0.234963,-0.729345,0.642533,-0.211428,-0.009598,-0.029486
0.369887,0.596709,0.712125,-0.189898,0.012857,-0.002019
0.972922,-0.018261,-0.230411,-0.148368,0.011746,-0.010176
0.492485,0.795178,0.353766,-0.126270,0.038761,0.002374
-0.936954,-0.345021,-0.055471,-0.153293,0.025968,0.000445
-0.253939,0.332562,-0.908250,-0.156540,0.035858,-0.028867
-0.936227,-0.211401,-0.280693,-0.180905,0.028131,-0.036737
-0.527984,0.309279,-0.790936,-0.191422,0.036651,-0.059591
-0.185489,0.949899,-0.251567,-0.191248,0.063511,-0.065238
-0.736146,-0.585917,0.338806,-0.206816,0.044956,-0.053694
-0.114224,0.718599,0.685980,-0.204244,0.063668,-0.033147
-0.185357,-0.765937,-0.615616,-0.203734,0.041247,-0.048889
-0.505262,0.845187,-0.174271,-0.211669,0.062403,-0.052189
-0.186017,-0.767376,-0.613622,-0.211011,0.041127,-0.066585
0.315853,0.811839,0.491075,-0.197839,0.060394,-0.052643
