rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
0.117606,0.543956,0.830831,0.117606,0.543956,0.830831
-0.984266,-0.040650,-0.171954,-0.433330,0.251653,0.329439
0.979515,-0.154009,0.129739,0.037618,0.116432,0.262872
-0.499902,0.417475,-0.758823,-0.096762,0.191693,0.007448
0.778451,-0.228613,-0.584594,0.078281,0.107632,-0.110960
-0.676437,0.187547,-0.712221,-0.047505,0.120951,-0.211170
-0.642863,0.591649,0.486495,-0.132557,0.188194,-0.111504
-0.917832,-0.167950,0.359691,-0.230716,0.143676,-0.052604
0.073287,-0.702742,0.707660,-0.196938,0.049629,0.031869
-0.110358,0.152746,0.982084,-0.188280,0.059941,0.126891
-0.540678,0.549052,-0.637346,-0.220316,0.104406,0.057415
0.105160,-0.834999,0.540110,-0.193193,0.026122,0.097639
0.175889,-0.925411,0.335675,-0.164802,-0.047073,0.115950
0.729003,0.173459,-0.662168,-0.100959,-0.031321,0.060370
0.386076,-0.875174,-0.291577,-0.068490,-0.087577,0.036907
0.676713,-0.277712,-0.681862,-0.021915,-0.099461,-0.008016
0.358687,-0.763317,-0.537299,0.000474,-0.138511,-0.039150
-0.073399,-0.997272,0.007818,-0.003630,-0.186220,-0.036541
0.688861,0.368091,0.624483,0.032816,-0.157046,-0.001750
0.004648,0.900598,0.434629,0.031408,-0.104164,0.020069
0.584135,0.578836,-0.568977,0.057728,-0.071640,-0.007981
-0.374660,-0.868101,-0.325622,0.038074,-0.107843,-0.022419
0.149830,-0.972335,0.179208,0.042933,-0.145429,-0.013653
-0.689123,-0.717241,-0.103322,0.012431,-0.169255,-0.017389
0.344735,0.890149,0.297981,0.025723,-0.126879,-0.004774
-0.495454,-0.866204,0.064938,0.005678,-0.155314,-0.002093
0.614045,-0.160387,0.772803,0.028210,-0.155502,0.026607
-0.492429,-0.173877,0.852807,0.009616,-0.156158,0.056114
0.516748,0.820241,-0.245308,0.027103,-0.122489,0.045720
0.306975,-0.376163,-0.874224,0.036432,-0.130945,0.015055
-0.706830,0.283371,-0.648146,0.012456,-0.117580,-0.006338
-0.510964,0.332711,-0.792603,-0.003901,-0.103509,-0.030909
0.236776,0.957571,0.164299,0.003392,-0.071355,-0.024994
-0.332817,-0.147606,-0.931367,-0.006496,-0.073597,-0.051652
0.974361,-0.038152,-0.221732,0.021528,-0.072585,-0.056511
-0.365489,0.491510,0.790465,0.010778,-0.056915,-0.032984
0.724918,0.687781,-0.038087,0.030079,-0.036788,-0.033122
0.497159,-0.854005,-0.153322,0.042370,-0.058294,-0.036285
-0.501835,0.070420,-0.862092,0.028416,-0.054994,-0.057460
0.479733,-0.093219,0.872449,0.039699,-0.055949,-0.034212
-0.174419,0.147986,-0.973488,0.034477,-0.050975,-0.057121
-0.640293,0.642566,0.420873,0.018411,-0.034462,-0.045740
-0.195541,0.716286,0.669849,0.013435,-0.017003,-0.029099
0.005689,0.768112,0.640291,0.013259,0.000840,-0.013885
0.561502,0.827473,-0.002065,0.025442,0.019210,-0.013623
0.090398,0.992551,-0.081671,0.026855,0.040370,-0.015102
-0.746889,0.578997,0.326987,0.010392,0.051830,-0.007823
0.134982,-0.859218,0.493481,0.012988,0.032850,0.002620
-0.270051,0.084639,-0.959119,0.007211,0.033907,-0.017007
0.436590,-0.714700,0.546436,0.015799,0.018934,-0.005738
0.990353,0.006651,0.138411,0.034908,0.018694,-0.002912
0.941973,0.093581,-0.322380,0.052351,0.020134,-0.009055
0.851748,0.450140,-0.268140,0.067434,0.028247,-0.013944
-0.876564,0.359660,0.319813,0.049953,0.034384,-0.007763
-0.854586,-0.077797,0.513449,0.033507,0.032345,0.001714
-0.575885,0.311101,-0.756025,0.022625,0.037322,-0.011817
0.421667,-0.893368,0.155213,0.029625,0.020995,-0.008887
-0.904671,0.052243,0.422897,0.013517,0.021533,-0.001443
-0.981965,0.041445,-0.184464,-0.003356,0.021871,-0.004545
0.651836,0.668553,0.357975,0.007564,0.032649,0.001497
-0.754525,0.174044,0.632773,-0.004929,0.034967,0.011846
-0.468058,-0.873964,0.130799,-0.012399,0.020307,0.013765
-0.161931,0.888936,-0.428453,-0.014772,0.034094,0.006745
-0.684235,0.559681,0.467526,-0.025233,0.042307,0.013945
0.185445,-0.441133,0.878073,-0.021992,0.034869,0.027239
0.862661,-0.359000,0.356280,-0.008588,0.028901,0.032225
0.445540,0.132784,0.885360,-0.001810,0.030452,0.044958
0.478411,0.211467,-0.852294,0.005252,0.033114,0.031763
0.001222,-0.919199,0.393791,0.005194,0.019312,0.037010
-0.034470,0.509105,0.860014,0.004627,0.026309,0.048767
0.261370,0.920029,-0.291946,0.008243,0.038897,0.043969
-0.532976,0.414661,0.737559,0.000726,0.044116,0.053602
0.530910,0.790300,0.305878,0.007989,0.054338,0.057058
-0.271060,0.921128,0.279375,0.004218,0.066051,0.060062
0.098601,-0.893843,0.437404,0.005477,0.053252,0.065093
0.391288,-0.334482,-0.857330,0.010553,0.048151,0.052956
-0.763905,0.140184,0.629918,0.000495,0.049346,0.060449
0.354915,0.688611,-0.632337,0.005039,0.057541,0.051567
0.777144,-0.627287,-0.050577,0.014813,0.048873,0.050274
-0.593449,-0.663172,-0.456094,0.007209,0.039972,0.043945
-0.920292,0.248651,-0.302051,-0.004241,0.042548,0.039673
-0.089695,0.439031,-0.893983,-0.005283,0.047384,0.028287
-0.624558,0.535038,0.568912,-0.012745,0.053259,0.034801
-0.776711,-0.366003,-0.512603,-0.021839,0.048268,0.028284
0.463790,0.761182,-0.453322,-0.016126,0.056655,0.022618
-0.256369,0.286154,0.923250,-0.018920,0.059324,0.033090
0.668284,0.627252,-0.399938,-0.011021,0.065852,0.028113
0.296302,0.861328,-0.412698,-0.007528,0.074891,0.023104
0.464786,-0.318954,-0.825979,-0.002222,0.070466,0.013563
-0.184470,0.447819,-0.874888,-0.004247,0.074659,0.003692
0.992244,0.058698,0.109578,0.006704,0.074483,0.004855
0.797813,0.534475,0.278981,0.015303,0.079483,0.007835
0.867653,-0.036749,-0.495810,0.024468,0.078233,0.002419
-0.502115,0.695155,0.514432,0.018866,0.084796,0.007866
0.167864,0.330808,0.928648,0.020434,0.087386,0.017559
0.031877,0.156004,0.987242,0.020554,0.088101,0.027660
-0.208767,0.977817,0.017057,0.018189,0.097273,0.027550
-0.788677,-0.078059,0.609832,0.009956,0.095484,0.033492
-0.138274,-0.879086,0.456166,0.008459,0.085640,0.037762
0.167843,0.977949,-0.124278,0.010053,0.094563,0.036141
0.485452,-0.425953,0.763480,0.014760,0.089409,0.043342
0.276682,0.934936,-0.222130,0.017328,0.097699,0.040740
0.360495,0.629678,-0.688149,0.020659,0.102864,0.033663
0.175528,0.918173,-0.355173,0.022148,0.110703,0.029924
-0.397567,0.773194,-0.494076,0.018151,0.117013,0.024934
0.505118,0.505717,-0.699361,0.022745,0.120680,0.018101
0.982590,0.173012,-0.067709,0.031716,0.121169,0.017299
-0.503243,0.833575,0.227816,0.026762,0.127765,0.019248
0.313148,0.925585,-0.212676,0.029390,0.135084,0.017120
0.728396,0.462008,0.505952,0.035744,0.138056,0.021564
-0.271764,0.326516,-0.905280,0.032974,0.139754,0.013214
0.507414,0.144753,0.849457,0.037210,0.139799,0.020681
0.753414,0.530422,0.388613,0.043548,0.143256,0.023937
0.784469,-0.378318,0.491411,0.050047,0.138681,0.028038
-0.941988,-0.320564,-0.099482,0.041421,0.134687,0.026929
-0.636517,-0.698088,-0.327902,0.035577,0.127508,0.023870
-0.196535,0.101602,0.975218,0.033593,0.127287,0.032001
0.962459,0.121412,-0.242759,0.041465,0.127237,0.029673
0.092057,0.219409,0.971280,0.041890,0.128011,0.037585
0.865770,0.440746,0.237035,0.048755,0.130618,0.039247
-0.178658,-0.982598,0.050827,0.046876,0.121417,0.039343
-0.512925,-0.430728,-0.742551,0.042287,0.116892,0.032934
-0.143501,0.576572,-0.804346,0.040777,0.120629,0.026127
-0.213602,-0.455503,-0.864229,0.038726,0.115983,0.018947
0.632302,-0.281037,-0.721950,0.043474,0.112806,0.013019
-0.016734,-0.961140,0.275555,0.042996,0.104283,0.015103
-0.169948,-0.101304,0.980232,0.041320,0.102664,0.022702
0.163775,-0.525227,0.835054,0.042276,0.097759,0.029049
0.158902,-0.834557,-0.527508,0.043180,0.090532,0.024735
0.803635,-0.285373,-0.522239,0.049030,0.087640,0.020527
-0.063543,-0.985818,-0.155322,0.048171,0.079446,0.019185
0.477800,-0.479862,-0.735826,0.051425,0.075209,0.013465
0.037062,-0.433634,0.900327,0.051317,0.071383,0.020133
0.298680,0.465026,0.833391,0.053163,0.074320,0.026202
-0.008297,-0.016543,-0.999829,0.052708,0.073647,0.018602
-0.076991,-0.814120,-0.575570,0.051754,0.067120,0.014233
-0.294544,-0.950234,0.101481,0.049227,0.059694,0.014870
0.313058,-0.949456,-0.022974,0.051139,0.052381,0.014596
0.541085,-0.353045,0.763273,0.054663,0.049464,0.019982
-0.566108,-0.457449,0.685756,0.050229,0.045843,0.024737
-0.085686,0.093397,0.991935,0.049265,0.046181,0.031597
0.591934,0.176266,0.786476,0.053087,0.047097,0.036913
0.389407,-0.920449,0.033710,0.055439,0.040331,0.036891
0.127066,-0.019675,0.991699,0.055936,0.039914,0.043521
0.584441,0.137028,-0.799783,0.059581,0.040584,0.037705
-0.094590,0.918379,-0.384230,0.058525,0.046596,0.034815
-0.756686,0.139067,-0.638816,0.052979,0.047225,0.030233
-0.684019,-0.712900,0.154569,0.048000,0.042089,0.031073
-0.599167,0.285756,0.747892,0.043656,0.043724,0.035884
0.386076,-0.220396,-0.895752,0.045939,0.041964,0.029673
0.727409,0.326455,-0.603576,0.050452,0.043848,0.025479
0.575306,-0.405642,-0.710266,0.053905,0.040891,0.020639
-0.132498,-0.029465,-0.990745,0.052687,0.040431,0.014028
0.456159,0.836472,-0.303699,0.055307,0.045600,0.011965
-0.962869,0.029682,0.268334,0.048738,0.045497,0.013619
-0.974256,0.180904,-0.134533,0.042180,0.046365,0.012670
-0.518670,-0.854974,-0.000965,0.038608,0.040624,0.012583
-0.105494,-0.971262,0.213355,0.037696,0.034220,0.013853
0.062397,0.882537,0.466085,0.037851,0.039555,0.016698
0.695572,0.551463,0.460509,0.041962,0.042754,0.019471
0.606769,-0.400441,0.686643,0.045470,0.040002,0.023615
-0.696159,0.093790,0.711735,0.040892,0.040334,0.027863
0.228324,0.317399,0.920395,0.042042,0.042034,0.033339
-0.238912,0.929199,0.281975,0.040329,0.047443,0.034855
0.411882,0.891978,-0.186356,0.042581,0.052561,0.033514
-0.554290,-0.711569,0.431777,0.038985,0.047958,0.035913
0.973915,-0.156352,0.164452,0.044584,0.046735,0.036683
0.890035,0.427123,-0.159382,0.049616,0.048999,0.035516
0.883560,0.264662,-0.386363,0.054551,0.050275,0.033020
-0.531309,0.380990,0.756675,0.051104,0.052221,0.037276
0.679452,0.526211,0.511320,0.054779,0.054992,0.040049
0.383608,0.505760,-0.772691,0.056691,0.057613,0.035323
-0.717050,0.613415,0.331000,0.052218,0.060826,0.037032
-0.835125,-0.136594,0.532830,0.047119,0.059691,0.039882
0.920826,-0.279472,0.271985,0.052111,0.057753,0.041208
-0.628728,-0.769868,0.109567,0.048243,0.053051,0.041597
-0.596726,-0.799823,-0.064815,0.044599,0.048232,0.040995
-0.149321,-0.986116,-0.072654,0.043509,0.042421,0.040357
0.802947,0.569222,0.176813,0.047752,0.045364,0.041119
-0.141793,-0.772104,-0.619476,0.046699,0.040823,0.037449
-0.641924,-0.086801,0.761840,0.042895,0.040118,0.041451
0.653434,0.137396,0.744410,0.046249,0.040652,0.045314
0.397665,0.442924,-0.803543,0.048169,0.042851,0.040675
-0.779156,0.546979,0.306153,0.043673,0.045590,0.042118
-0.135952,-0.230849,0.963445,0.042702,0.044096,0.047098
-0.892627,-0.075577,-0.444416,0.037674,0.043453,0.044456
0.017712,-0.999414,0.029279,0.037567,0.037876,0.044374
-0.198022,-0.704980,-0.681021,0.036314,0.033924,0.040516
-0.273520,0.038981,0.961076,0.034674,0.033951,0.045387
0.027217,-0.768034,0.639830,0.034635,0.029730,0.048515
-0.753833,-0.011906,0.656958,0.030507,0.029512,0.051701
-0.521937,-0.332971,-0.785310,0.027630,0.027624,0.047341
0.850965,-0.292911,-0.435961,0.031896,0.025964,0.044837
0.798197,0.560360,-0.221085,0.035846,0.028718,0.043467
0.635977,0.715334,0.289535,0.038923,0.032239,0.044728
-0.801607,0.555212,0.221733,0.034635,0.034907,0.045632
0.558472,0.335413,0.758688,0.037294,0.036433,0.049251
0.186409,0.948123,-0.257517,0.038047,0.041037,0.047702
0.333175,0.937816,-0.097447,0.039530,0.045544,0.046972
-0.799314,0.351858,-0.487128,0.035336,0.047075,0.044302
0.971950,0.228448,0.055895,0.039996,0.047978,0.044360
0.051809,-0.129581,0.990214,0.040054,0.047099,0.049042
0.199487,-0.979686,0.020518,0.040839,0.042041,0.048901
0.239111,-0.780035,0.578248,0.041811,0.038011,0.051496
-0.962855,0.083905,0.256654,0.036911,0.038235,0.052497
0.827607,-0.462020,0.318753,0.040749,0.035806,0.053790
-0.505758,0.779108,0.370405,0.038109,0.039397,0.055319
-0.168867,-0.950253,0.261730,0.037114,0.034639,0.056312
0.918642,-0.381195,0.103859,0.041332,0.032650,0.056539
-0.991932,0.116082,-0.050951,0.036411,0.033047,0.056027
0.744968,-0.165479,0.646251,0.039769,0.032106,0.058824
-0.147748,0.585354,-0.797202,0.038885,0.034716,0.054787
0.958027,-0.027815,-0.285324,0.043200,0.034422,0.053190
-0.529643,0.847296,0.039608,0.040523,0.038221,0.053126
0.199969,-0.238454,-0.950343,0.041265,0.036934,0.048459
0.386408,-0.049831,-0.920981,0.042863,0.036532,0.043971
-0.846662,0.367318,0.385022,0.038763,0.038056,0.045543
0.621100,-0.332633,0.709641,0.041435,0.036356,0.048589
0.854962,0.481937,-0.191771,0.045149,0.038391,0.047491
0.413516,0.625238,-0.661877,0.046824,0.041058,0.044267
-0.285180,0.956744,0.057561,0.045322,0.045201,0.044327
-0.694128,0.604239,0.391255,0.041991,0.047720,0.045890
0.777665,-0.321733,-0.540116,0.045290,0.046063,0.043262
-0.193229,0.980011,-0.047348,0.044225,0.050232,0.042857
0.465919,-0.409199,0.784522,0.046099,0.048190,0.046154
-0.343358,0.231969,-0.910108,0.044376,0.049004,0.041923
0.728714,-0.266381,-0.630886,0.047391,0.047614,0.038959
-0.816053,0.528950,-0.232958,0.043604,0.049725,0.037766
-0.672942,-0.097817,-0.733199,0.040474,0.049081,0.034399
0.276563,0.504759,-0.817759,0.041501,0.051062,0.030694
-0.039240,-0.705031,-0.708090,0.041151,0.047789,0.027496
0.924281,-0.152682,0.349847,0.044958,0.046925,0.028886
0.054540,0.610765,-0.789931,0.044999,0.049345,0.025371
0.635379,-0.769067,-0.069504,0.047522,0.045847,0.024966
0.581666,0.281978,0.762989,0.049795,0.046852,0.028106
0.968069,-0.085108,0.235793,0.053686,0.046293,0.028986
-0.964579,0.067917,-0.254902,0.049390,0.046384,0.027789
-0.613553,0.420668,0.668275,0.046604,0.047957,0.030480
0.638779,0.326941,-0.696470,0.049082,0.049124,0.027438
-0.983585,-0.006212,-0.180337,0.044779,0.048894,0.026572
-0.579173,-0.737538,-0.347269,0.042190,0.045631,0.025021
0.237960,-0.591806,-0.770156,0.042999,0.042996,0.021735
-0.775712,0.293322,0.558778,0.039630,0.044027,0.023945
-0.008707,-0.891097,0.453730,0.039432,0.040194,0.025707
0.762147,-0.075879,0.642942,0.042382,0.039720,0.028226
0.141210,0.978324,-0.151466,0.042783,0.043536,0.027496
0.866184,0.118808,0.485397,0.046117,0.043841,0.029349
0.418326,0.899255,0.127844,0.047618,0.047290,0.029747
0.009592,0.998992,0.043841,0.047465,0.051112,0.029803
-0.442062,0.828977,-0.342606,0.045507,0.054223,0.028314
0.532035,0.470923,0.703683,0.047445,0.055884,0.031004
0.410900,-0.533040,-0.739614,0.048888,0.053547,0.027946
-0.535050,0.005169,-0.844804,0.046580,0.053355,0.024497
0.149382,-0.886716,-0.437516,0.046984,0.049654,0.022678
0.198492,0.164227,0.966245,0.047578,0.050104,0.026378
0.027983,0.869358,0.493390,0.047502,0.053304,0.028202
-0.364919,-0.663817,-0.652826,0.045897,0.050513,0.025552
0.943381,-0.331355,-0.015368,0.049376,0.049033,0.025394
0.809028,0.035362,-0.586705,0.052309,0.048981,0.023030
-0.729980,0.470886,0.495375,0.049300,0.050603,0.024847
0.524335,0.216731,0.823469,0.051120,0.051240,0.027907
-0.530951,0.257149,-0.807444,0.048898,0.052026,0.024719
-0.839476,0.281400,-0.464860,0.045521,0.052898,0.022857
-0.377529,-0.795296,-0.474316,0.043918,0.049685,0.020974
0.204034,-0.609313,0.766230,0.044522,0.047198,0.023786
-0.319520,0.180654,-0.930200,0.043154,0.047700,0.020200
-0.728657,-0.660247,0.182026,0.040263,0.045048,0.020806
0.327325,0.248285,0.911709,0.041334,0.045807,0.024130
0.541560,0.716135,0.440300,0.043194,0.048299,0.025677
-0.322127,-0.821861,0.469871,0.041841,0.045076,0.027322
0.161320,-0.921335,-0.353719,0.042282,0.041510,0.025916
-0.355056,0.019220,0.934647,0.040821,0.041428,0.029257
0.078140,0.977522,-0.195820,0.040957,0.044857,0.028433
-0.619881,0.502911,0.602352,0.038546,0.046528,0.030527
0.095700,0.269910,0.958118,0.038754,0.047341,0.033900
-0.005366,-0.984631,0.174566,0.038594,0.043602,0.034410
-0.220712,0.801142,-0.556289,0.037658,0.046337,0.032278
-0.339187,0.871841,-0.353335,0.036302,0.049306,0.030891
0.447933,0.563078,0.694478,0.037777,0.051147,0.033269
0.249910,-0.165704,0.953985,0.038535,0.050373,0.036557
0.365100,-0.325031,0.872386,0.039697,0.049037,0.039532
0.227044,-0.346356,-0.910213,0.040361,0.047635,0.036164
0.053408,-0.396840,-0.916332,0.040408,0.046064,0.032798
-0.630126,0.635811,0.445742,0.038047,0.048141,0.034252
0.877405,-0.388602,0.281335,0.040992,0.046608,0.035119
-0.091661,0.096346,-0.991118,0.040528,0.046782,0.031531
-0.452814,-0.770120,-0.449304,0.038809,0.043936,0.029855
-0.827763,0.481148,-0.288627,0.035800,0.045454,0.028750
-0.546114,0.574775,0.609420,0.033786,0.047286,0.030759
-0.780234,-0.175190,0.600452,0.030979,0.046519,0.032723
0.289157,-0.936766,0.197122,0.031867,0.043140,0.033288
0.841423,0.472111,0.262903,0.034639,0.044609,0.034075
-0.954378,0.040701,-0.295813,0.031264,0.044595,0.032949
0.136717,0.965610,0.221149,0.031622,0.047728,0.033589
-0.925722,-0.373654,-0.058494,0.028377,0.046300,0.033277
0.583420,-0.811210,-0.039496,0.030252,0.043403,0.033031
-0.361546,-0.136589,0.922295,0.028933,0.042797,0.036025
-0.726352,0.397625,0.560631,0.026399,0.043987,0.037785
0.965725,-0.158620,0.205461,0.029540,0.043310,0.038346
0.084485,0.100038,0.991390,0.029723,0.043499,0.041523
0.986714,-0.161757,0.015200,0.032903,0.042817,0.041436
-0.887247,0.411557,0.208360,0.029856,0.044038,0.041988
0.545076,0.681385,-0.488473,0.031556,0.046141,0.040238
0.435943,-0.851234,-0.292155,0.032886,0.043189,0.039144
0.165021,0.917149,-0.362776,0.033320,0.046055,0.037826
0.224460,0.089343,0.970379,0.033944,0.046196,0.040874
0.700056,-0.686285,-0.197315,0.036114,0.043810,0.040098
-0.175950,-0.735588,0.654180,0.035425,0.041280,0.042092
-0.510323,0.804298,-0.304427,0.033659,0.043749,0.040971
-0.238984,0.965797,0.100610,0.032780,0.046724,0.041163
0.168475,0.875332,-0.453222,0.033216,0.049388,0.039573
0.156044,0.978865,-0.132189,0.033610,0.052367,0.039023
0.912253,0.207688,0.353073,0.036417,0.052863,0.040026
0.381405,0.917644,0.111624,0.037516,0.055617,0.040254
-0.364720,0.587722,0.722193,0.036239,0.057306,0.042419
0.937473,0.341617,-0.066647,0.039091,0.058206,0.042074
-0.829047,0.271319,0.488945,0.036352,0.058878,0.043484
-0.172601,0.934055,-0.312652,0.035695,0.061631,0.042364
-0.461525,-0.880641,0.107082,0.034136,0.058677,0.042566
-0.003772,-0.705295,-0.708904,0.034018,0.056289,0.040218
-0.930599,-0.254269,0.263312,0.031013,0.055322,0.040913
0.310526,0.470988,0.825678,0.031881,0.056613,0.043350
-0.005601,0.425253,0.905057,0.031765,0.057754,0.046018
-0.851965,0.435596,-0.290538,0.029037,0.058920,0.044979
0.593895,0.779800,-0.197990,0.030775,0.061138,0.044232
-0.997889,-0.031816,0.056611,0.027620,0.060853,0.044270
0.302586,-0.809348,0.503386,0.028461,0.058192,0.045674
0.827121,0.211161,-0.520847,0.030896,0.058658,0.043947
-0.996702,-0.079093,-0.018123,0.027772,0.058240,0.043758
0.779734,0.542122,-0.313239,0.030051,0.059706,0.042676
-0.515638,0.518308,0.682256,0.028402,0.061092,0.044608
-0.860235,-0.123139,0.494806,0.025726,0.060537,0.045964
