rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
0.490738,0.871220,0.012307,0.490738,0.871220,0.012307
0.471510,-0.405538,0.783082,0.481124,0.232841,0.397694
-0.906937,0.007730,-0.421196,0.018437,0.157804,0.124731
-0.213558,-0.843726,0.492462,-0.039562,-0.092579,0.216664
0.644556,-0.006027,-0.764534,0.097262,-0.075268,0.020424
-0.201798,0.088445,0.975426,0.047419,-0.047983,0.179591
-0.457122,0.205002,0.865456,-0.024659,-0.011842,0.277572
0.914171,-0.295323,-0.277626,0.092695,-0.047277,0.208172
0.016870,0.846863,-0.531543,0.084270,0.052072,0.125982
0.257378,0.795679,0.548317,0.101581,0.126433,0.168215
0.424501,0.811701,0.401174,0.130937,0.188730,0.189393
-0.939406,0.086679,-0.331667,0.041742,0.180225,0.145971
-0.953897,0.299188,-0.023820,-0.034846,0.189376,0.132910
0.790729,0.148792,0.593808,0.024124,0.186478,0.165832
-0.376990,0.893511,-0.243961,-0.002617,0.233613,0.138512
0.153432,-0.955637,-0.251431,0.007136,0.159285,0.114141
-0.586214,-0.285531,0.758172,-0.027767,0.133119,0.152025
-0.667650,-0.471477,0.576153,-0.063316,0.099531,0.175588
-0.029822,-0.374014,0.926943,-0.061553,0.074607,0.215133
-0.848946,-0.491600,0.193958,-0.100923,0.046297,0.214074
-0.313677,-0.743234,-0.590941,-0.111054,0.008700,0.175740
0.555078,0.683265,-0.474381,-0.080775,0.039362,0.146189
-0.896305,-0.314303,0.312810,-0.116233,0.023985,0.153433
-0.469015,-0.320734,-0.822894,-0.130932,0.009622,0.112753
-0.952210,-0.125088,0.278656,-0.163783,0.004234,0.119389
-0.537998,0.255515,0.803287,-0.178176,0.013898,0.145693
0.487387,0.691607,0.533042,-0.153526,0.038999,0.160039
0.484656,-0.730912,0.480496,-0.130734,0.011502,0.171484
-0.353320,0.618859,0.701554,-0.138409,0.032445,0.189762
-0.876943,-0.465054,0.121227,-0.163027,0.015862,0.187478
-0.686288,-0.528934,0.499237,-0.179906,-0.001712,0.197535
0.083866,0.718062,-0.690908,-0.171663,0.020781,0.169771
0.878725,-0.145173,0.454717,-0.139833,0.015752,0.178406
0.784520,-0.380693,0.489490,-0.112646,0.004092,0.187555
0.602821,0.797846,-0.006883,-0.092205,0.026771,0.182000
0.726133,-0.021043,-0.687232,-0.069473,0.025442,0.157854
-0.595742,-0.785665,-0.166799,-0.083696,0.003521,0.149080
